id,Movie Name,Release Date,Production Budget (USD),Domestic Gross (USD),Worldwide Gross (USD),Domestic Box Office (USD),International Box Office (USD),Worldwide Box Office (USD),Est. Domestic DVD Sales (USD),Est. Domestic Blu-ray Sales (USD),Total Est. Domestic Video Sales (USD),Opening Weekend (USD),Legs,Infl. Adj. Dom. BO (USD),Video Release,MPAA Rating,Running Time (minutes),Franchise,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Domestic Releases,International Releases,Theater counts,Domestic Share Percentage,Movie URL
"2,460",The Fifth Estate,2013-10-18,26000000,3254172,6154172,3254172,2900000,6154172,1669101,665051,2334152,1673351,1.94,4314878,2014-01-28,R,128,,"News,Investigative Journalist,Internet,Non-Chronological,Epilogue,Political,Iraq War,Government Corruption,Whistleblowers,Political Thriller,Non-Drama Biographies,2000s,2010s",Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Touchstone Pictures,DreamWorks Pictures,Participant Media,Anonymous Content,Reliance Entertainment",United States,English,"October 18th, 2013 (Wide) byWalt Disney",,"1,769 opening theaters/1,769 max. theaters, 2.1 weeks average run per theater",52.9,https://www.the-numbers.com/movie/Fifth-Estate-The#tab=summary
"2,462",Blood Ties,2013-10-30,26000000,42472,2923959,42472,2881487,2923959,147351,119822,267173,26912,1.58,56034,2014-06-24,R,128,,"Sibling Rivalry,Life on the Outside,Dysfunctional Family,Single Parent,Going Legit,Non-Chronological,Foreign-Language Remake,Police life,Interracial Romance",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Les Prods. du Tresor,Worldview Entertainment,Caneo Films,Mars Films,Wild Bunch,Le Grisbi","France,United States",English,"March 21st, 2014 (Limited) byRoadside Attractions","October 30th, 2013 (Wide) (Belgium)May 22nd, 2015 (Wide) (Spain)","28 opening theaters/28 max. theaters, 1.2 weeks average run per theater",1.5,https://www.the-numbers.com/movie/Blood-Ties-(2013)#tab=summary
"2,473",The Help,2011-08-10,25000000,169705587,213120004,169705587,43414417,213120004,92527375,30074256,122601631,26044590,6.52,230695805,2011-12-06,PG-13,137,,"Bigotry,African Americans,Writing and Writers,Boss From Hell,You Can't Go Home Again,Upstairs / Downstairs,Non-Chronological,Voiceover/Narration,2012 Oscars Best Picture Nominee,Historical Drama",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"DreamWorks Pictures,Participant Media,Reliance BIG Entertainment,Image Nation Abu Dhabi,1492 Pictures,Harbinger Pictures","United Arab Emirates,United States",English,"August 10th, 2011 (Wide) byWalt Disney","September 1st, 2011 (Wide) (Australia)September 15th, 2011 (Wide) (New Zealand)October 28th, 2011 (Wide) (Spain)January 6th, 2012 (Wide) (Uruguay)February 3rd, 2012 (Wide) (Brazil)... Show all releases","2,534 opening theaters/3,014 max. theaters, 9.6 weeks average run per theater",79.6,https://www.the-numbers.com/movie/Help-The#tab=summary
"2,474",Hidden Figures,2016-12-25,25000000,169607287,229477688,169607287,59870401,229477688,21270593,11513759,32784352,515499,7.44,203919611,2017-04-11,PG,126,,"1960s,African Americans,Bigotry,Sexism,Women’s Rights,Mathematics,Space Program,2017 Oscars Best Picture Nominee,Civil Rights Movement,Intertitle,Epilogue,Widow/Widower,Archive Footage,Biographical Drama,Biography",Based on Factual Book/Article,Drama,Live Action,Dramatization,"Fox 2000 Pictures,Chernin Entertainment,Levantine Films",United States,English,"December 25th, 2016 (Limited) by20th Century FoxJanuary 6th, 2017 (Expands Wide) by20th Century FoxFebruary 12th, 2021 (Limited) byWalt Disney","January 20th, 2017 (Wide), released asFiguras ocultas(Spain)January 23rd, 2017 (Wide) (South Korea)January 27th, 2017 (Wide) (New Zealand)January 27th, 2017 (Wide) (Taiwan)February 3rd, 2017 (Wide) (Argentina)... Show all releases","25 opening theaters/3,416 max. theaters, 8.6 weeks average run per theater",73.9,https://www.the-numbers.com/movie/Hidden-Figures#tab=summary
"2,476",Gran Torino,2008-12-12,25000000,148095302,274543085,148095302,126447783,274543085,61120996,5045989,66166985,271720,5.02,213491410,2009-06-09,R,116,,"Hood Film,Life Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Warner Bros.,Village Roadshow Productions,Double Nickel Entertainment,Malpaso Productions",United States,English,"December 12th, 2008 (Limited) byWarner Bros.January 9th, 2009 (Expands Wide) byWarner Bros.",,"6 opening theaters/3,045 max. theaters, 8.8 weeks average run per theater",53.9,https://www.the-numbers.com/movie/Gran-Torino#tab=summary
"2,477",Taken,2008-04-09,25000000,145000989,226941585,145000989,81940596,226941585,75062346,9780340,84842686,24717037,5.87,208414753,2009-05-12,PG-13,91,Taken,"Action Thriller,Kidnap,Human-Trafficking,Rescue,Tourists In Trouble,Sex Crimes,Prostitution",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"EuropaCorp,M6 Films,Grive Productions,Canal Plus,TPS Star",France,"Albanian,Arabic,English,French","January 30th, 2009 (Wide) by20th Century Fox","April 9th, 2008 (Wide) (South Korea)","3,183 opening theaters/3,184 max. theaters, 10.3 weeks average run per theater",63.9,https://www.the-numbers.com/movie/Taken-(2009)#tab=summary
"2,478",Ride Along,2014-01-17,25000000,134202565,153733800,134202565,19531235,153733800,21353491,10877210,32230701,41516170,3.23,177075104,2014-04-15,PG-13,100,Ride Along,"African Americans,Buddy Cop,In-Laws / Future In-Laws,Undercover,Organized Crime,Corrupt Cops,Fantasy Sequence,Intertitle,Epilogue,Action Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Cube Vision,Rainforest Films,Relativity Media",United States,"English,Serbian","January 17th, 2014 (Wide) byUniversal",,"2,663 opening theaters/2,867 max. theaters, 7.5 weeks average run per theater",87.3,https://www.the-numbers.com/movie/Ride-Along#tab=summary
"2,485",Up in the Air,2009-12-04,25000000,83823381,166842739,83823381,83019358,166842739,19812398,3107828,22920226,1181450,7.44,117679471,2010-03-09,R,109,,"2010 Oscars Best Picture Nominee,Comedy Drama,Corporate Life",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Cold Springs Pictures,DW Studios,Montecito Picture Company,Rickshaw,Right of Way Films,Paramount Pictures",United States,English,"December 4th, 2009 (Limited) byParamount PicturesDecember 25th, 2009 (Expands Wide) byParamount Pictures",,"15 opening theaters/2,218 max. theaters, 7.3 weeks average run per theater",50.2,https://www.the-numbers.com/movie/Up-in-the-Air-(2009)#tab=summary
"2,489",Cloverfield,2008-01-18,25000000,80048433,171302226,80048433,91253793,171302226,29469331,508525,29977856,40058229,2,120184139,2008-04-22,PG-13,85,Cloverfield,"Monster,Found Footage,Parasite,Action Horror,Set in New York City,Set in New York",Original Screenplay,Action,Live Action,Science Fiction,Bad Robot,United States,English,"January 18th, 2008 (Wide) byParamount Pictures",,"3,411 opening theaters/3,411 max. theaters, 4.4 weeks average run per theater",46.7,https://www.the-numbers.com/movie/Cloverfield#tab=summary
"2,490",Dear John,2010-02-05,25000000,80014842,142033509,80014842,62018667,142033509,31237185,2368958,33606143,30468614,2.63,109323192,2010-05-25,PG-13,107,,"Romance,Romantic Drama,War,Afghanistan War,Autism",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Screen Gems,Relativity Media,Temple Hill Entertainment",United States,English,"February 5th, 2010 (Wide) bySony Pictures",,"2,969 opening theaters/3,062 max. theaters, 5.6 weeks average run per theater",56.3,https://www.the-numbers.com/movie/Dear-John-(2010)#tab=summary
"2,492",Parental Guidance,2012-12-25,25000000,77267296,120832383,77267296,43565087,120832383,10508721,3484947,13993668,14554053,5.31,103934971,2013-03-26,PG,104,,"Dysfunctional Family,Babysitters,Generational Conflict,Family Comedy,Fired,In-Laws / Future In-Laws",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"20th Century Fox,Walden Media,Chernin Entertainment,Face Productions",United States,English,"December 25th, 2012 (Wide) by20th Century Fox","December 26th, 2012 (Wide) (Australia)December 26th, 2012 (Wide) (New Zealand)December 27th, 2012 (Wide) (Mexico)December 28th, 2012 (Wide) (United Kingdom)January 3rd, 2013 (Wide) (Bahrain)... Show all releases","3,367 opening theaters/3,368 max. theaters, 5.6 weeks average run per theater",63.9,https://www.the-numbers.com/movie/Parental-Guidance#tab=summary
"2,493",Everything Everywhere All At Once,2022-03-25,25000000,77169474,111478881,77169474,34309407,111478881,2425310,12891091,15316401,501305,12.47,78831585,2022-06-06,R,146,,"Action Adventure,Alternative Dimensions / Parallel universe,Oscars Best Picture Winner,2023 Oscars Best Picture Nominee",Original Screenplay,Action,Live Action,Science Fiction,"A24,Ley Line,IAC Films,AGBO",United States,English,"March 25th, 2022 (Limited) byA24April 8th, 2022 (Expands Wide) byA24January 27th, 2023 (Wide) byA24August 28th, 2024 (IMAX) byA24","April 7th, 2022 (Wide), released asTudo em Todo o Lado ao Mesmo Tempo(Portugal)April 7th, 2022 (Wide), released asВсё везде и сразу(Russia (CIS))April 8th, 2022 (Wide), released asHer Şey Her Yerde Aynı Anda(Turkey)April 14th, 2022 (Limited) (Australia)April 14th, 2022 (Limited) (New Zealand)... Show all releases","10 opening theaters/2,220 max. theaters, 13.0 weeks average run per theater",69.2,https://www.the-numbers.com/movie/Everything-Everywhere-All-At-Once-(2022)#tab=summary
"2,495",No Country for Old Men,2007-11-09,25000000,74273505,164035753,74273505,89762248,164035753,46677010,7673768,54350778,1226333,9.55,114444005,2008-03-11,R,122,,"Organized Crime,Film Noir,Oscars Best Picture Winner,Psychological Thriller,2008 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,"Scott Rudin Productions,Mike Zoss",United States,English,"November 9th, 2007 (Limited) byMiramaxNovember 21st, 2007 (Expands Wide) byMiramax","December 20th, 2007 (Limited) (Australia)February 22nd, 2008 (Wide) (South Korea)March 15th, 2008 (Wide), released asNo Country for Old Men (ノーカントリー)(Japan)April 22nd, 2021 (Limited) (Australia)December 1st, 2022 (Limited) (New Zealand)... Show all releases","28 opening theaters/2,037 max. theaters, 9.3 weeks average run per theater",45.3,https://www.the-numbers.com/movie/No-Country-for-Old-Men#tab=summary
"2,498",No Strings Attached,2011-01-21,25000000,70662220,149228078,70662220,78565858,149228078,13049877,3765718,16815595,19652921,3.6,96057853,2011-05-10,R,106,,"Romance,Relationship Advice,LGBTQ+,Medical and Hospitals,Doctors,Prologue,TV Industry,Writing and Writers,Relationships Gone Wrong,Dysfunctional Family,Directing Yourself,Epilogue,Romantic Comedy",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Cold Springs Pictures,Spyglass Entertainment,Montecito Picture Company",United States,English,"January 21st, 2011 (Wide) byParamount Pictures",,"3,018 opening theaters/3,050 max. theaters, 5.4 weeks average run per theater",47.4,https://www.the-numbers.com/movie/No-Strings-Attached#tab=summary
"2,499",Contraband,2012-01-13,25000000,66528000,98406855,66528000,31878855,98406855,16375095,8572235,24947330,24349815,2.73,90096955,2012-04-24,R,109,,"Surprise Twist,Organized Crime,Out of Retirement,One Last Job,Foreign-Language Remake,Prologue,Revenge,Addiction,Narcotics,Action Thriller,Betrayal,No Honor Among Thieves",Remake,Action,Live Action,Contemporary Fiction,"Relativity Media,Working Title Films,Blueeyes,Leverage,Closest to the Hole,Universal Pictures",United States,English,"January 13th, 2012 (Wide) byUniversal","March 16th, 2012 (Wide) (United Kingdom)March 23rd, 2012 (Wide) (Nigeria)May 16th, 2012 (Wide) (France)May 16th, 2012 (Wide) (Switzerland)May 17th, 2012 (Wide) (Peru)... Show all releases","2,863 opening theaters/2,870 max. theaters, 4.3 weeks average run per theater",67.6,https://www.the-numbers.com/movie/Contraband#tab=summary
"2,500",A Dog’s Purpose,2017-01-20,25000000,64321890,203055427,64321890,138733537,203055427,12974421,6597831,19572252,18222810,3.53,77300998,2017-04-18,PG,100,A Dog’s Purpose,"Animal Lead,Talking Animals,Death of a Pet,Reincarnation,Relationships Gone Wrong,Exes in Love,Romance,Police life,Coming of Age,Voiceover/Narration,1960s,1980s,2010s,1990s,1970s,Same Role, Multiple Actors,Family Movie,Family Drama",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Amblin Entertainment,Reliance Entertainment,Walden Media,Pariah Productions",United States,English,"January 27th, 2017 (Wide) byUniversal","January 20th, 2017 (Wide), released asQua la zampa!(Italy)January 26th, 2017 (Wide) (Brazil)January 26th, 2017 (Wide) (Chile)January 26th, 2017 (Wide) (Peru)January 27th, 2017 (Wide), released asPsí poslání(Czech Republic)... Show all releases","3,059 opening theaters/3,178 max. theaters, 5.7 weeks average run per theater",31.7,https://www.the-numbers.com/movie/Dogs-Purpose-A#tab=summary
"2,501",The Lucky One,2012-04-19,25000000,60457138,96633833,60457138,36176695,96633833,26880173,4638970,31519143,22518358,2.68,81875361,2012-08-28,PG-13,81,,"Romance,Iraq War,Returning Soldiers,Relationships Gone Wrong,Romantic Drama",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Warner Bros.,Village Roadshow Productions,Di Novi Pictures",United States,English,"April 20th, 2012 (Wide) byWarner Bros.","April 19th, 2012 (Wide) (Australia)April 19th, 2012 (Wide) (Hungary)April 19th, 2012 (Wide) (New Zealand)April 19th, 2012 (Wide) (Philippines)April 19th, 2012 (Wide) (Singapore)... Show all releases","3,155 opening theaters/3,175 max. theaters, 5.2 weeks average run per theater",62.6,https://www.the-numbers.com/movie/Lucky-One-The#tab=summary
"2,506",Madea’s Big Happy Family,2011-04-22,25000000,53345287,54160818,53345287,815531,54160818,12419887,1220848,13640735,25068677,2.13,72517297,2011-08-30,PG-13,106,Madea Cinematic Universe,"African Americans,Terminal Illness,Dysfunctional Family,Funeral Reunions,Cross-Dressing,Ensemble,Fat Suit,Comedy Drama",Based on Play,Comedy,Live Action,Contemporary Fiction,"Tyler Perry Studios,Lionsgate,Reuben Cannon Productions",United States,English,"April 22nd, 2011 (Wide) byLionsgate, released asMadea's Big Happy Family",,"2,288 opening theaters/2,288 max. theaters, 4.4 weeks average run per theater",98.5,https://www.the-numbers.com/movie/Madeas-Big-Happy-Family-(2011)#tab=summary
"2,507",Tyler Perry's A Madea Christmas,2013-12-13,25000000,52543354,52543354,52543354,,,16083684,1955505,18039189,16007634,3.28,69654981,2014-11-25,PG-13,100,Madea Cinematic Universe,"African Americans,Fat Suit,Cross-Dressing,Dysfunctional Family,Screenplay Written By the Star,Directing Yourself,Novel or Other Work Adapted by Author,Family Comedy",Based on Play,Comedy,Live Action,Contemporary Fiction,"Lionsgate,Tyler Perry Studios",United States,English,"December 13th, 2013 (Wide) byLionsgate",,"2,194 opening theaters/2,194 max. theaters, 4.3 weeks average run per theater",100,https://www.the-numbers.com/movie/Tyler-Perrys-A-Madea-Christmas#tab=summary
"2,509",The Grey,2012-01-27,25000000,51580136,81249176,51580136,29669040,81249176,14303083,7286453,21589536,19665101,2.62,69853494,2012-05-15,R,117,,"Epilogue,Voiceover/Narration,Animal Lead,Marooned,Animals Gone Bad,Survival Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Open Road Films,Inferno,LD Entertainment,Scott Free Films,Chambara Pictures",United States,English,"January 27th, 2012 (Wide) byOpen Road","February 29th, 2012 (Wide) (Belgium)March 16th, 2012 (Wide), released asUn Día para Sobrevivir(Mexico)March 23rd, 2012 (Wide) (Turkey)March 30th, 2012 (Wide) (Norway)April 12th, 2012 (Wide) (Argentina)... Show all releases","3,185 opening theaters/3,207 max. theaters, 4.2 weeks average run per theater",63.5,https://www.the-numbers.com/movie/Grey-The#tab=summary
"2,517",The Giver,2014-08-15,25000000,45090374,66540205,45090374,21449831,66540205,9248410,1979608,11228018,12305016,3.66,59495003,2014-11-25,PG-13,97,,"Dystopia,Young Adult Book Adaptation,Unnamed Character,Government Corruption,Faulty Memory,Retro Black and White,Coming-of-Age Drama,Coming of Age,Romance,First Love",Based on Fiction Book/Short Story,Drama,Live Action,Science Fiction,"Tonik,As Is Productions",United States,English,"August 15th, 2014 (Wide) byWeinstein Co.","September 12th, 2014 (Wide) (Australia)","3,003 opening theaters/3,003 max. theaters, 5.7 weeks average run per theater",67.8,https://www.the-numbers.com/movie/Giver-The#tab=summary
"2,520",The Night Before,2015-11-12,25000000,43035725,52568099,43035725,9532374,52568099,3110039,2584646,5694685,9880536,4.36,55027717,2016-02-09,R,101,,"Christians,Jewish,Christmas in November,Christmas,Orphan,Young Child Dealing with the Death of a Parent,Narcotics,Black Out Drunk,Parties Gone Wild,Gratuitous Cameos,Stoner Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Columbia Pictures,Good Universe,LStar Capital,Point Grey",United States,English,"November 20th, 2015 (Wide) bySony Pictures","November 12th, 2015 (Wide) (Bulgaria)November 25th, 2015 (Wide) (Jamaica)November 25th, 2015 (Wide) (Trinidad)November 26th, 2015 (Wide) (Aruba)November 26th, 2015 (Wide) (Curacao)... Show all releases","2,960 opening theaters/2,960 max. theaters, 4.4 weeks average run per theater",81.9,https://www.the-numbers.com/movie/Night-Before-The#tab=summary
"2,529",August: Osage County,2013-12-25,25000000,37738810,50738810,37738810,13000000,50738810,7975918,1931469,9907387,179302,5.12,49798016,2014-04-08,R,119,,"Dysfunctional Family,Suicide,Sibling Rivalry,Incest,Infidelity,Addiction,Writing and Writers,Funeral Reunions,Black Comedy",Based on Play,Black Comedy,Live Action,Contemporary Fiction,"Jean Doumanian,Smokehouse Pictures,Battle Mountain Films,Yucaipa Films","Canada,United States",English,"December 25th, 2013 (Limited) byWeinstein Co.",,"5 opening theaters/2,411 max. theaters, 4.8 weeks average run per theater",74.4,https://www.the-numbers.com/movie/August-Osage-County-(2013)#tab=summary
"2,531",Million Dollar Arm,2014-05-16,25000000,36447959,39217912,36447959,2769953,39217912,4074776,1989614,6064390,10515659,3.47,48091671,2014-10-07,PG,123,,"Inspirational Sports,Baseball,Cricket,Underdog,Reality TV,Inspired by a True Story,Culture Clash,Romance,Sports Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Roth Films,Mayhem Pictures",United States,English,"May 10th, 2014 (Sneak Peek) byWalt DisneyMay 16th, 2014 (Wide) byWalt Disney","June 13th, 2014 (Wide) (Venezuela)June 19th, 2014 (Wide) (New Zealand)June 20th, 2014 (Wide) (Ecuador)June 26th, 2014 (Wide) (Chile)July 3rd, 2014 (Wide) (Thailand)... Show all releases","3,019 opening theaters/3,019 max. theaters, 4.0 weeks average run per theater",92.9,https://www.the-numbers.com/movie/Million-Dollar-Arm#tab=summary
"2,533",Just Mercy,2019-12-25,25000000,36001502,50901502,36001502,14900000,50901502,2904661,1947102,4851763,107858,3.71,42276961,2020-03-17,PG-13,136,,"Wrongfully Convicted,Death Row,Lawyers,Civil Rights Movement,Prologue,Bigotry,1980s,Biography,Biographical Drama",Based on Factual Book/Article,Drama,Live Action,Dramatization,"Endeavor Content,One Community,Participant Media,Macro Media,Gil Netter Productions,Outlier Productions,Warner Bros.",United States,English,"December 25th, 2019 (Limited) byWarner Bros.January 10th, 2020 (Expands Wide) byWarner Bros.","January 16th, 2020 (Wide) (Ukraine)January 17th, 2020 (Wide), released asSiekiant gailestingumo(Lithuania)January 17th, 2020 (Wide) (Netherlands)January 17th, 2020 (Wide), released asTudo Pela Justiça(Portugal)January 17th, 2020 (Wide) (Taiwan)... Show all releases","4 opening theaters/2,457 max. theaters, 5.0 weeks average run per theater",70.7,https://www.the-numbers.com/movie/Just-Mercy#tab=summary
"2,536",Peppermint,2018-09-07,25000000,35418723,51800758,35418723,16382035,51800758,8250446,5003282,13253728,13423255,2.64,41911497,2018-11-20,R,102,,"Revenge,Death of a Son or Daughter,Death of a Spouse or Fiancée / Fiancé,Government Corruption,Corrupt Cops,Corrupt Judge,Action Thriller",Original Screenplay,Action,Live Action,Contemporary Fiction,"Lakeshore Entertainment,STX Films,Huayi Brothers Pictures Ltd",United States,English,"September 7th, 2018 (Wide) bySTX Entertainment","September 7th, 2018 (Wide) (Netherlands)September 13th, 2018 (Wide), released asБАГРОВАЯ МЯТА(Russia (CIS))September 14th, 2018 (Wide) (France)September 14th, 2018 (Wide) (Poland)September 21st, 2018 (Wide), released asPeppermint: Ангел на възмездието(Bulgaria)... Show all releases","2,980 opening theaters/2,980 max. theaters, 4.0 weeks average run per theater",68.4,https://www.the-numbers.com/movie/Peppermint-(2018)#tab=summary
"2,542",Mother’s Day,2016-04-22,25000000,32492859,52367022,32492859,19874163,52367022,3975993,1542743,5518736,8369184,2.93,40493981,2016-07-19,PG-13,118,Garry Marshall's Holiday Franchise,"Ensemble,Segments,Romantic Comedy,Divorcée Romance,Relationships Gone Wrong,Adopted Family Seeking Reunion,Interracial Romance,LGBTQ+,Bigotry,Dysfunctional Family",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Open Road Films,Wayne Rice,Gulfstream Pictures,Aperture Media Partners,Mayday Movie Productions,Beatnik Films",United States,English,"April 29th, 2016 (Wide) byOpen Road","April 22nd, 2016 (Wide) (Argentina)April 24th, 2016 (Wide) (Hungary)April 27th, 2016 (Wide) (Slovakia)April 28th, 2016 (Wide) (Netherlands)April 28th, 2016 (Wide) (Portugal)... Show all releases","3,035 opening theaters/3,291 max. theaters, 3.6 weeks average run per theater",62,https://www.the-numbers.com/movie/Mothers-Day-(2016)#tab=summary
"2,544",Fist Fight,2017-02-17,25000000,32187017,40286416,32187017,8099399,40286416,4961981,2141556,7103537,12201873,2.64,38681831,2017-05-16,R,91,,"Teachers,Fired,Revenge,High School,Bullies,Farcical / Slapstick Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment,21 Laps Entertainment,Wrigley Pictures",United States,English,"February 17th, 2017 (Wide) byWarner Bros.","February 17th, 2017 (Wide), released asМежду шамарите(Bulgaria)February 17th, 2017 (Wide), released asTrenk kaip vyras(Lithuania)February 17th, 2017 (Wide), released asUDARI IOT DEDEC(Slovenia)February 23rd, 2017 (Wide) (Netherlands)February 24th, 2017 (Wide) (Australia)... Show all releases","3,185 opening theaters/3,185 max. theaters, 3.4 weeks average run per theater",79.9,https://www.the-numbers.com/movie/Fist-Fight#tab=summary
"2,547",The Sitter,2011-12-09,25000000,30542576,38749404,30542576,8206828,38749404,8460033,2506500,10966533,9851435,3.1,41500327,2012-03-20,R,81,,"Delayed Adulthood,Coming of Age,Bad Role Models,Divorcée Romance,Gangs,Relationships Gone Wrong,Narcotics,Infidelity,Adopted Family,LGBTQ+,Corrupt Cops,Epilogue,Improvised,Babysitters,Black Comedy",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,"20th Century Fox,Michael De Luca Productions,Rough House Pictures",United States,English,"December 9th, 2011 (Wide) by20th Century Fox","May 11th, 2012 (Wide) (Venezuela)May 18th, 2012 (Wide) (Spain)May 31st, 2012 (Wide) (Germany)June 13th, 2012 (Wide) (France)","2,750 opening theaters/2,752 max. theaters, 3.8 weeks average run per theater",78.8,https://www.the-numbers.com/movie/Sitter-The#tab=summary
"2,552",Draft Day,2014-04-11,25000000,28842237,29847480,28842237,1005243,29847480,8620503,3535726,12156229,9783603,2.95,38056214,2014-09-02,PG-13,109,,"Split Screen,One Day,Gratuitous Cameos,Football,Corporate Life,Underdog,Sports Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Summit Entertainment,OddLot Entertainment,Montecito Picture Company",United States,English,"April 11th, 2014 (Wide) byLionsgate","June 5th, 2014 (Wide) (Singapore)June 19th, 2014 (Wide) (Hong Kong)June 27th, 2014 (Wide) (Vietnam)July 3rd, 2014 (Wide) (Portugal)July 10th, 2014 (Wide) (Bolivia)... Show all releases","2,781 opening theaters/2,781 max. theaters, 3.9 weeks average run per theater",96.6,https://www.the-numbers.com/movie/Draft-Day#tab=summary
"2,554",Rings,2017-02-03,25000000,27793018,82917283,27793018,55124265,82917283,1339486,1147874,2487360,13002632,2.14,33401194,2017-04-21,PG-13,102,Ring,"Supernatural,Curses,Delayed Sequel,Development Hell,Delayed Release,Supernatural Horror",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Paramount Pictures,Parkes+Macdonald Productions",United States,English,"February 3rd, 2017 (Wide) byParamount Pictures","February 3rd, 2017 (Wide) (Brazil)February 3rd, 2017 (Wide) (Chile)February 3rd, 2017 (Wide) (Colombia)February 3rd, 2017 (Wide), released asKruhy(Czech Republic)February 3rd, 2017 (Wide) (France)... Show all releases","2,931 opening theaters/2,931 max. theaters, 2.9 weeks average run per theater",33.5,https://www.the-numbers.com/movie/Rings-(2017)#tab=summary
"2,559",Don't Be Afraid of the Dark,2011-08-26,25000000,24046682,39126427,24046682,15079745,39126427,5122173,1198223,6320396,8525728,2.82,32688927,2012-01-03,R,100,,"Demons,Surprise Twist,Remake,Prologue,Dysfunctional Family,Supernatural,Supernatural Horror",Remake,Horror,Live Action,Contemporary Fiction,"Miramax Films,Necropia,Gran Via",United States,English,"August 26th, 2011 (Wide) byFilmDistrict, released asDon't Be Afraid of the Dark","January 13th, 2012 (Wide) (Italy)March 30th, 2012 (Wide) (Venezuela)April 5th, 2012 (Wide) (Peru)May 31st, 2012 (Wide) (Bolivia)","2,760 opening theaters/2,780 max. theaters, 3.7 weeks average run per theater",61.5,https://www.the-numbers.com/movie/Dont-Be-Afraid-of-the-Dark#tab=summary
"2,560",The Losers,2010-04-23,25000000,23591432,29863840,23591432,6272408,29863840,10923645,3966578,14890223,9406348,2.51,32232653,2010-07-20,PG-13,97,,"D.C. Comics,Action Thriller,Betrayal,Special Ops,Revenge,Young Child Dealing with the Death of a Parent,Weapons of Mass Destruction,Faked Death",Based on Comic/Graphic Novel,Action,Live Action,Contemporary Fiction,Dark Castle Entertainment,United States,English,"April 23rd, 2010 (Wide) byWarner Bros.",,"2,936 opening theaters/2,936 max. theaters, 3.3 weeks average run per theater",79,https://www.the-numbers.com/movie/Losers-The#tab=summary
"2,561",Fighting,2009-04-24,25000000,23091010,32831707,23091010,9740697,32831707,15242749,1729216,16971965,11024370,2.09,33189475,2009-08-25,PG-13,84,,"Bare Knuckle Fighting,Sports Action,Crime,Illegal Sports,Underground / Illegal Fighting,Confidence Men,Forgery,Gambling,Take a Dive,Surprise Twist",Original Screenplay,Action,Live Action,Contemporary Fiction,"Rogue Pictures,Misher Films",United States,English,"April 24th, 2009 (Wide) byUniversal",,"2,309 opening theaters/2,312 max. theaters, 3.6 weeks average run per theater",70.3,https://www.the-numbers.com/movie/Fighting-(2009)#tab=summary
"2,566",The Eagle,2011-02-11,25000000,19490041,38993548,19490041,19503507,38993548,5780689,2305209,8085898,8684464,2.24,26494653,2011-06-21,PG-13,114,,"War,Sword and Sandal,Action Adventure,Ancient Rome",Based on Fiction Book/Short Story,Action,Live Action,Historical Fiction,Film 4,"United Kingdom,United States","English,Gaelic","February 11th, 2011 (Wide) byFocus Features",,"2,296 opening theaters/2,296 max. theaters, 3.0 weeks average run per theater",50,https://www.the-numbers.com/movie/Eagle-The#tab=summary
